"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "PostCSS", "XML", "TypeScript", "TypeScript JSX", "JSON with Comments", "Markdown", "pip requirements", "HTML", "Python", "Database", "comment", "blank", "total"
"f:\Aero\AEROPS\Frontend\playwright-fixture.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 4
"f:\Aero\AEROPS\Frontend\playwright.config.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 6, 2, 11
"f:\Aero\AEROPS\Frontend\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"f:\Aero\AEROPS\Frontend\public\mock\aircrafts.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"f:\Aero\AEROPS\Frontend\public\mock\engineers.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"f:\Aero\AEROPS\Frontend\public\mock\pilots.json", "JSON", 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 191
"f:\Aero\AEROPS\Frontend\public\placeholder.svg", "XML", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"f:\Aero\AEROPS\Frontend\src\App.css", "PostCSS", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"f:\Aero\AEROPS\Frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 5, 60
"f:\Aero\AEROPS\Frontend\src\components\BackgroundLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"f:\Aero\AEROPS\Frontend\src\components\HumanBodyModel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 1, 16, 96
"f:\Aero\AEROPS\Frontend\src\components\IAFRankInsignia.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 7, 59
"f:\Aero\AEROPS\Frontend\src\components\NavLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"f:\Aero\AEROPS\Frontend\src\components\PageHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"f:\Aero\AEROPS\Frontend\src\components\StatusBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 8, 58
"f:\Aero\AEROPS\Frontend\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 8, 53
"f:\Aero\AEROPS\Frontend\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 14, 105
"f:\Aero\AEROPS\Frontend\src\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"f:\Aero\AEROPS\Frontend\src\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
